user,created_at,text
ExtremeFloorSTL,2020-04-20 23:59:15+00:00,'An American woman who has recovered from the novel coronavirus has a simple message for people who are worried: Don't panic -- but do think about high-risk individuals and stay home if you feel ill. via : https://bit.ly/2J46f2D via: https:// https://bit.ly/2J46f2D
SteveLevine1,2020-04-20 23:59:15+00:00,"Kemp with a smart plan for reopening in GA. For example, bowling alleys have large groups of people, many individuals touch bowling balls, & multiple people wear bowling shoes. Also smart thinking re gyms. #coronavirus #KempKILLS #tRumpIsALoser"
1967mustangman,2020-04-20 23:59:15+00:00,This may be the hottest of hot takes but some of you need to hear this. This is the best time in all of human history to be alive. Even with the Coronavirus. The future is bright. It’s going to be great. Seriously.
jeffreymmiller,2020-04-20 23:59:15+00:00,"With #MassMurderer #realDonaldTrump FAILING to respond to his Coronavirus Crisis, Regime warns rivals not to Seek Advantage from his Incompetence @SenCoryGardner and @RepDLamborn endorse Putin's Plan to Destroy America: IMPOTENT Donald Trump"
thaniruravibabu,2020-04-20 23:59:15+00:00,Coronavirus has come with a purpose. 
mhicks679,2020-04-20 23:59:15+00:00,soo can you send me some moeny after corona virus soo i can take this girl who ever i ask to my junior prom
LawrenceConnol2,2020-04-20 23:59:15+00:00,"Mass. reports 1,566 new coronavirus cases, 103 new deaths; Walsh warns police will keep dispersing crowds https://www.bostonglobe.com/2020/04/20/nation/coronavirus-boston-massachusetts-april-20/?event=event25 via @BostonGlobe"
kr3at,2020-04-20 23:59:14+00:00,"US #CoronaVirus: 792,735 cases and 42,507 deaths reported in the United States to date. 28,099 new cases and 1,932 new deaths have been reported so far today. #Covid19 #CoronaVirusOutbreak"
Pinozoni,2020-04-20 23:59:14+00:00,I am worried about Trump giving Cuomo coronavirus if he meets with him in person.
lynnv378,2020-04-20 23:59:13+00:00,The truth. I never felt comfortable going to these places anyway. I was already a buy online & pick up in store person for virtually everything.
LebogangSeale,2020-04-20 23:59:13+00:00,Coronavirus: ANC and Alliance partners punt a basic income grant for unemployed and informal workers 
AtrDde,2020-04-20 23:59:13+00:00,America's priority is to keep everyone safe and prevent the spread of the virus. They are now the worst country in the world for Coronavirus cases. So why whinge and bitch about the lockdown measures that won't last forever? Fuckwits.
