user,created_at,text
chevz28aero,2020-04-20 23:30:45+00:00,Priceless. #CoronaUpdate #COVID19 #COVID2019IRELAND #FilmYourHospital #TheLockdown #MAGA #Quarantine #StayHome #coronavirus #GetWellSoon #ChineseVirus @Scavino45 @realDonaldTrump
mrcleansedotcom,2020-04-20 23:30:05+00:00,Girl Raped By 500 Men is Prosecuted By The Police.....its the UK where the govt is complicate with muslim sex groomers.... #maga #americafirst @KTHopkins @colinflaherty
meanswhatitsays,2020-04-20 23:29:54+00:00,"Nice try. The virus is from china. More people have not died in a month than from the flu in a year. I have been working my normal schedule 5 days a week. I believe I had this chinese virus in January, along with many others in NY. This attemp is as inept as the last 2."
RickenbackerTe1,2020-04-20 23:29:53+00:00,"Died from the Wuhan Chinese Virus? Directly from it? Or they died from a GSW, heart attack, stroke, cancer, flu, car accident, etc. yet were “found” to have been affected by COVID-19?"
boiling_pots,2020-04-20 23:29:38+00:00,No Chinese virus problem if you fail to test for the Chinese virus...
Mikhaelbronze,2020-04-20 23:29:27+00:00,So the oil bubble has burst due to the chinese virus outbreak. No Biggie it'll bounce back once this pandemic is over. Best time to by oil stock's.
avr1avr,2020-04-20 23:29:19+00:00,"Dude, do really trust those communist figures? I know what communism is. You don't. Everything in a communist is controlled and manipulated, including these statistics."
lion202020201,2020-04-20 23:29:14+00:00,"Chinese virus brings loss of 20,000+ lives to USA.Also, China annually exports 50,000+ pregnant women to USA to pollute American gene pool.Time for USA to halt blind openness and generosity. Please include criminalizing passport theft via pregnancy in #MakeChinaPay list!"
WesselsFred,2020-04-20 23:29:10+00:00,Are they going to shoot the “Chinese” virus?
MichaelTnDisney,2020-04-20 23:29:08+00:00,@weijia Could you please go back to China and Take The Chinese Virus with you that your country unleashed on the World. Get out of our Country – at Tennesse Georgia State Line
Anschutz2012,2020-04-20 23:28:50+00:00,"You must be pretty happy that school is canceled the rest of the year. Plus, no track season you have to deal with either."
DwarfToday,2020-04-20 23:28:50+00:00,One of the best Loudon County Dwarfs got the Chinese virus thing. Not doing well. Worried about insurance. Mine c: @ISmokeEmWet Advice?
zeadikuss,2020-04-20 23:28:46+00:00,I have to ask: is this CCP propaganda? Or the by product of someone from china simply brainwashed by CCP propaganda? #ChinaLiedPeopleDied #ChinaMustPay #ChineseVirus #CCPVirus
DAVeteranOR,2020-04-20 23:28:35+00:00,"@POTUS @VAVetBenefits White House when will the IRS send disabled vets the Chinese virus money? Also, why disabled vets only rate 1200 dollars, when scum bag wall street gets unlimited money which they do not need, but then they use it all not for food but to buy unlimited assets"
jean_blaize,2020-04-20 23:28:32+00:00,POUR L'INSTANT je m'intéresse aux bilans des victimes du virus chinois FOR NOW I'm interested in the results of the victims of the Chinese virus
rigger1977,2020-04-20 23:28:27+00:00,China is responsible for the Chinese virus. So is the WHO!!
IDFAmerica,2020-04-20 23:28:12+00:00,We grow hemp now
Acho_Wendy,2020-04-20 23:28:00+00:00,"“#Facebook is relying on a ‘fact checker’ that uses ‘expert opinion’ from a researcher who conducted projects with the Wuhan Institute of Virology, the biolab next to the wet market in Wuhan where the Chinese virus originated.” #CCPvirus"
AlanPortell,2020-04-20 23:27:20+00:00,Stocks To Buy Doctor visit with a mobile device. #Telemedicine #stocks Teladoc $TDOC Reliq $RQHTF eWellness $EWLL #Telehealth #RemoteDiagnosis #ChineseVirus #Covid #covid19 #Healthcare #Coronavirus #CDC #StockMarket #StayAtHome #Pennystocks #Gilead
AjibodeAdekunle,2020-04-20 23:27:06+00:00,"If all Africans or otherwise called black could frown on Covid-19 and start calling it Chinese Virus, their head will straight and they will have sense. Funny enough, they are damn racists...."
HSminiP,2020-04-20 23:27:04+00:00,"No, it's the kung-flu and Chinese virus!"
Blondie55Plus,2020-04-20 23:26:35+00:00,"I’m angry w/previous Pres. keeping their mouths shut. Where’s Bush? Your a Rep., no? I voted for you. Should I be sorry for that? What would you have done w/this Chinese virus? Any previous Pres. Would you just stand by &amp; fill your freezers with a now bankrupt ice cream company?"
yogendrapal72,2020-04-20 23:26:26+00:00,How will the coronavirus pandemic change #Ramadan for #Muslims? @AJENews #coronavirus #CoronaOutbreak #Wuhan #China #COVID19 #India #COVID #CoronaVirusUpdate #ChineseVirus #WuhanVirus #US #Italy #Spain #Germany #France #UK #Iran #WHO #UAE #SaudiArabia
Engin82sea,2020-04-20 23:26:16+00:00,Chinese Virus 
Every_TumpTweet,2020-04-20 23:25:58+00:00,"Why would you need that for that hoax, ""Chinese"" virus you and @realDonaldTrump say not to whine about? https://twitter.com/PastorDScott/status/1250849606260469763?s=20 I mean, ""don't worry, god's got it."" right?"
tonyconcern,2020-04-20 23:25:35+00:00,Chinese Virus
JohnMcferon,2020-04-20 23:25:32+00:00,Yeah but helped spread the Chinese Virus to all 9 people at his rallies
Peaches_Sabrina,2020-04-20 23:25:27+00:00,So what it's accepted. Did you know that Pangea was once not an accepted theory.
uribepo,2020-04-20 23:25:21+00:00,"After listening to leaders like @ESSAYONS54 during today's #COVIDー19 presser, my trust is strengthened in @realDonaldTrump and the incredible team he and @VP Pence have assembled to beat the #ChineseVirus. #GodBlessPresidentTrump #GodBlessAmerica #winning "
jayandrewstn,2020-04-20 23:24:56+00:00,Its ridiculous. Some people would rather live in fear.
johncasagranda,2020-04-20 23:24:52+00:00,Don't want to call SARS-CoV-2 as Chinese / China / Wuhan coronavirus? Hm. I think I'm gonna keep calling it Wuhan virus SINCE IT'S ORIGINATED IN WUHAN. #ChinaLiedPeopleDied #CCPvirus #ChineseVirus #ChinaVirus #WuhanVirus
KenCouch6,2020-04-20 23:24:44+00:00,"IM SURE THEY DONT HAVE UNDERLYING CONDITIONS THERE WRITING EVERY DEATH OFF AS ""THE CHINESE VIRUS"""
sourIpatchIkid,2020-04-20 23:24:30+00:00,To be honest Asians need to have a seat as well because you were crying out for help when trump was calling it #ChineseVirus and hate crimes were afoot.
Wannymacc,2020-04-20 23:24:23+00:00,Chinese virus it is
Meeeooow11,2020-04-20 23:24:23+00:00,K a r e n And Chinese Virus And stewardess #Harambe
mrcleansedotcom,2020-04-20 23:24:10+00:00,that said ...washing the hands is good...prevention is always good.....but not to pt of fanaticism....as the Pharisees condemned Jesus for eating without washing his hands
