user,created_at,text
SimonIshihara,2020-02-28 10:25:11+00:00,Tokyo Disney parks closing for two weeks over coronavirus - CNN https://www.cnn.com/2020/02/28/business/tokyo-disney-coronavirus/index.html. JAPAN TERRIFIED... WITH THE $BILLIONS SPENT ON THE INFRASTRUCTURE FOR UPCOMING OLYMPICS THEIR COUNTRY’S FINANCES WILL “NEVER RECOVER”. JUST BECAUSE CHINESE VIRUS PANDEMIC KILLING!
CoronaKids2009,2020-02-28 10:24:14+00:00,Very enlighting to hear a jew compain about the Irani regime when we are talking about a chinese virus pandemic right here
SigbertYoc,2020-02-28 10:20:14+00:00,"If that was due to a Chinese virus, there would be a ""lock down""."
GeorgeR63458345,2020-02-28 10:16:56+00:00,"Not a fan of Pelosi. But don't see the tie between the debate and market fall. Mkt has been overdue for a correction and this time the trigger was the Chinese virus. If there is a tie between the debate and the mkt fall, yet to read about it in detailed analysis by mkt experts."
Alex_Chicca_95,2020-02-28 10:06:42+00:00,"Can you please stop lying? Trump has done a great job on Coronavirus very early, China is to blame for the virus. I’m 100% Italian, I live in Italy, blaming POTUS for a Chinese virus is the dumbest thing I’ve ever heard. The cognitive dissonance of the dem party is scary! #TDS"
emutoro,2020-02-28 09:47:17+00:00,He has to make sure you don't bring that Chinese virus home... Mjengo zimejaa hao watu.
DavoJags,2020-02-28 09:46:09+00:00,That’s one less Chinese virus we have to worry about
chamberwwoh,2020-02-28 09:16:22+00:00,Chinese virus imported by Italian..Mr Inflictus #coronavirusnigeria
QsKinoti,2020-02-28 09:07:22+00:00,"Taka taka, you allow Chinese virus into the country and you start advising us..?"
3qui_sammy,2020-02-28 08:49:27+00:00,#CoronaVirusUpdates #CoronavirusOutbreak #coronavirusnigeria #coronavirus News: The mystery Chinese Virus can only spread through human interaction Engineering Students: 
oondego,2020-02-28 08:43:04+00:00,"#UhuruKenyatta's first name is #Helpless (pronounced #Hopeless in Kenyanese); Mr #HelplessHopeless 'Sasa mwataka nifanye nini?' Kamwana Uhuru Muigai Kenyatta can't help himself, let alone help protect Kenyans from the killer #ChineseVirus. #coronavirusInkenya #TooYoungToRetire"
teddles1,2020-02-28 08:38:40+00:00,"I gotta tell you,after watching the news I'm more than concerned about this Chinese Virus.For a start I'm 71 and have a few respiratory http://issues.Im seeing my doctor next week hope he can ease my anxiety."
annaburgite,2020-02-28 08:22:18+00:00,This coronovirus is not that bad and last year in Canada 3500 people died of the flu still no deaths in Canada from that Chinese Virus
GDijkhuyzen,2020-02-28 08:00:51+00:00,"WOW! $175B were wiped out due to the Chinese virus!Thank God I just sold on time all our Asian investments! Platinum is strong enough on it's own feet/pedestal..I play safe,it's who Iam,I don't need more DOUGH! Enough is enough! To some self-aggrandizement good luck!Or bad faith. "
KuzioKundera,2020-02-28 07:58:39+00:00,"F’ing sad that now we will have to hear the pathetic lies of the Democrats and their media organizations (CNN, MSNBC, CBS, WaPo, NYT etc..) in a pathetic attempt to politicize a Chinese Virus, where they will potentially try &amp; blame Trump for creating it. The Left is a disgrace!"
Aseno_churchil,2020-02-28 07:47:06+00:00,we know it is a Chinese virus that our government is trying to force into the country
ttdawgtt,2020-02-28 07:40:19+00:00,A Chinese virus is Trumps fault too now?! Are these people for real?
Rebecca1Hoover,2020-02-28 07:08:41+00:00,So how many people will have to die from the Trump Chinese virus before Trump will change his mind? What a moron Trump is. I can't believe he put a politician instead of a doctor in charge of the Trump virus response team.
matt_at_larkins,2020-02-28 07:07:52+00:00,if only Mongolia had a wall to put up to keep the Chinese virus out
talktooverdose,2020-02-28 06:51:36+00:00,When Corona started in china many blamed them for not knowing God and having a bad 'diet culture'.. Some called it a Chinese virus. The reality now is covid19 is everyone's virus. Be guided accordingly
chuangnanzoubei,2020-02-28 06:41:41+00:00,"this is just beginning, every department, every industry, every council, maybe it is too late to pick them out, too late. this is real CCP or you can say China or Chinese virus , it worse than Coronavirus because most people dont notice. "
Monty_Capulleti,2020-02-28 06:35:59+00:00,"For a Chinese virus? Are you really upset? I'm assuming you were pro-SCOTUS' decision for the travel ban. Ban flights from every country allowing planes to land from China? If not, how is this Trump's fault?"
VooDoo56824452,2020-02-28 06:28:38+00:00,"Dems, Liberals, and Progressives are now wishing for the current Chinese virus only infect persons at MAGA rallies. One source is George Takei. Same people that cheered on the gunman who wounded Republicans at a baseball practice and wished he would have killed the whole lot."
Sandy38362818,2020-02-28 06:25:37+00:00,Ok so let’s all stay home until this Chinese virus is gone! We don’t listen to communist countries! I find it hilarious at the “praise” China is getting! So phoney JMO
adlin98946233,2020-02-28 05:55:35+00:00,This Chinese professor says this Coronavirus is not a Chinese virus Rather is world virus!! Shameless and hooligan 
blind_furay,2020-02-28 05:32:20+00:00,Where is the task force for the Chinese virus and the illegal Chinese as a matter fact!?!
PardonPoor,2020-02-28 05:31:41+00:00,"Chinese VIRUS, MEET ""Webbonomics"" &amp; the ART of the Trickle UP by: James T. Webb, Master Builder. TRUMP Opportunity Zones will NOW RISE into OVERDRIVE!!! The ECONOMIC CONDITIONS IN AMERICA WILL BECOME EVEN GREATER: REBUILD!!! Learn more. Free Ebooks. SAVE your IRA!!!"
PardonJamesWebb,2020-02-28 05:31:24+00:00,"Chinese VIRUS, MEET ""Webbonomics"" &amp; the ART of the Trickle UP by: James T. Webb, Master Builder. TRUMP Opportunity Zones will NOW RISE into OVERDRIVE!!! The ECONOMIC CONDITIONS IN AMERICA WILL BECOME EVEN GREATER: REBUILD!!! Learn more. Free Ebooks. SAVE your IRA!!!"
oondego,2020-02-28 05:23:08+00:00,"I hear #UhuruKenyatta, at 60, is #too_young_to_retire. But could he also be too young to understand grave issues like the killer Chinese virus that wipes out people regardless of position or status? The man is too young to govern. Let him quit till he comes of age. Don't u agree?"
Daffy_Duckie,2020-02-28 05:10:31+00:00,Disgusting chinese virus
johndoe69896681,2020-02-28 04:45:06+00:00,"This is about ""If coronavirus spreads within the US, here's how daily life might change"". Why CNN showed 2 Asians in the picture walking in Italy instead of Italians? Is CNN implying the virus is ChineseVirus? This is not the first time that exposing that CNN is racist."
